date,description,type,amount,balance
24-04-2025,27A31DAE6D/24/04/2025,debit,20.0,1016.89
24-04-2025,00EE24F62453FFC/24/04/2025,debit,22.0,994.89
24-04-2025,8A85441702AD0FC1C/24/04/202,debit,100.0,894.89
25-04-2025,EE5A636795/25/04/2025,debit,40.0,854.89
25-04-2025,3BED0B4C6CE1A6/25/04/2025,debit,40.0,814.89
25-04-2025,,debit,10.0,804.89
25-04-2025,4E96D4A9669D30B/25/04/2025,debit,10.0,794.89
26-04-2025,9DF8A1BAC0D036/26/04/2025,debit,99.0,695.89
26-04-2025,D09BF6BD5A/26/04/2025,debit,60.0,635.89
26-04-2025,2D4A2BA1616DFAB/26/04/2025,debit,12.0,623.89
26-04-2025,A316C95F5FEB4694/26/04/2025,debit,30.0,593.89
27-04-2025,868CB7A9F2DBBB1449/27/04/2,debit,24.0,569.89
27-04-2025,F4FD1B976DE0EC27634F5/27/0,credit,300.0,869.89
27-04-2025,7E8A8F7D4262400FB82ECB604,debit,300.0,569.89
27-04-2025,,credit,214.0,783.89
27-04-2025,,debit,95.0,688.89
28-04-2025,616093DD4D/28/04/2025,debit,410.0,278.89
28-04-2025,,credit,180.0,458.89
28-04-2025,,credit,72.0,530.89
28-04-2025,9A1175200626E492B/28/04/202,debit,72.0,458.89
29-04-2025,6D933F071E/29/04/2025,debit,84.0,374.89
29-04-2025,//YBL6ADB403BADE6424F8765,credit,60.0,434.89
29-04-2025,323F1036DB4EC/29/04/2025,credit,15.0,449.89
30-04-2025,E434DBE82F85E83/30/04/2025,debit,20.0,429.89
30-04-2025,BCD30928F92/30/04/2025,debit,10.0,419.89
30-04-2025,A802F984A9/30/04/2025,debit,290.0,129.89
30-04-2025,,debit,40.0,89.89
01-05-2025,SERVICES--SALARY,credit,10000.0,10089.89
01-05-2025,SERVICES--SLARY,credit,35000.0,45089.89
01-05-2025,,debit,35000.0,10089.89
01-05-2025,3BDA672888A44B55D/01/05/202,debit,250.0,9839.89
01-05-2025,53542B32398494D/01/05/2025,debit,15.0,9824.89
02-05-2025,,debit,10.0,9814.89
02-05-2025,//YBLCFD922D7F9D14F33A9CD,credit,111.0,9925.89
02-05-2025,6EB7957B7C2680A/02/05/2025,debit,96.0,9829.89
02-05-2025,282E429A1F652/02/05/2025,credit,170.0,9999.89
02-05-2025,8E333CE2D5ABE6E/02/05/2025,debit,24.0,9975.89
03-05-2025,//YBL94D228FE146945FB95F17,credit,25.0,10000.89
03-05-2025,,debit,71.0,9929.89
04-05-2025,B0760496DD636FE/04/05/2025,debit,40.0,9889.89
04-05-2025,8E2F04941BB256FE41C710E37,debit,2115.56,7774.33
04-05-2025,94A58CBDDE9A153EC0/04/05/2,debit,140.0,7634.33
